-------------------------
Time: 2025-06-14 04:01:40 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040131_gpt2_lora
Training started at: 2025-06-14 04:01:43
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:46:06 | Step: 6800 | Train Loss: 0.3670
Time: 2025-06-14 04:46:24 | Step: 6850 | Train Loss: 0.4071
Time: 2025-06-14 04:46:43 | Step: 6900 | Train Loss: 0.4359
Time: 2025-06-14 04:47:01 | Step: 6950 | Train Loss: 0.4466
Time: 2025-06-14 04:47:19 | Step: 7000 | Train Loss: 0.4095
Time: 2025-06-14 04:47:37 | Step: 7050 | Train Loss: 0.3322
Time: 2025-06-14 04:47:55 | Step: 7100 | Train Loss: 0.3951
Time: 2025-06-14 04:48:13 | Step: 7150 | Train Loss: 0.3832
Time: 2025-06-14 04:48:32 | Step: 7200 | Train Loss: 0.2970
Time: 2025-06-14 04:48:50 | Step: 7250 | Train Loss: 0.3888
Time: 2025-06-14 04:49:08 | Step: 7300 | Train Loss: 0.3319
Time: 2025-06-14 04:49:26 | Step: 7350 | Train Loss: 0.3854
Time: 2025-06-14 04:49:44 | Step: 7400 | Train Loss: 0.3586
Time: 2025-06-14 04:50:03 | Step: 7450 | Train Loss: 0.3594
Time: 2025-06-14 04:50:21 | Step: 7500 | Train Loss: 0.4078
Time: 2025-06-14 04:50:39 | Step: 7550 | Train Loss: 0.2927
Time: 2025-06-14 04:50:57 | Step: 7600 | Train Loss: 0.3750
Time: 2025-06-14 04:51:15 | Step: 7650 | Train Loss: 0.2835
Time: 2025-06-14 04:51:34 | Step: 7700 | Train Loss: 0.3092
Time: 2025-06-14 04:51:52 | Step: 7750 | Train Loss: 0.3394
Time: 2025-06-14 04:52:10 | Step: 7800 | Train Loss: 0.4516
Time: 2025-06-14 04:52:28 | Step: 7850 | Train Loss: 0.4267
Time: 2025-06-14 04:52:46 | Step: 7900 | Train Loss: 0.4312
Time: 2025-06-14 04:53:05 | Step: 7950 | Train Loss: 0.3206
Time: 2025-06-14 04:53:23 | Step: 8000 | Train Loss: 0.4281
Time: 2025-06-14 04:53:41 | Step: 8050 | Train Loss: 0.3254
Time: 2025-06-14 04:53:59 | Step: 8100 | Train Loss: 0.2993
Time: 2025-06-14 04:54:17 | Step: 8150 | Train Loss: 0.3591
Time: 2025-06-14 04:54:35 | Step: 8200 | Train Loss: 0.3094
Time: 2025-06-14 04:54:54 | Step: 8250 | Train Loss: 0.3916
Time: 2025-06-14 04:55:12 | Step: 8300 | Train Loss: 0.3753
Time: 2025-06-14 04:55:30 | Step: 8350 | Train Loss: 0.3211
Time: 2025-06-14 04:55:48 | Step: 8400 | Train Loss: 0.3497
Time: 2025-06-14 04:56:06 | Step: 8450 | Train Loss: 0.3245
Time: 2025-06-14 04:56:25 | Step: 8500 | Train Loss: 0.4070
Time: 2025-06-14 04:56:43 | Step: 8550 | Train Loss: 0.2937
Time: 2025-06-14 04:57:01 | Step: 8600 | Train Loss: 0.3065
Time: 2025-06-14 04:57:19 | Step: 8650 | Train Loss: 0.3750
Time: 2025-06-14 04:57:37 | Step: 8700 | Train Loss: 0.2951
Time: 2025-06-14 04:57:56 | Step: 8750 | Train Loss: 0.3267
Time: 2025-06-14 04:58:14 | Step: 8800 | Train Loss: 0.3651
-------------------------
Time: 2025-06-14 04:59:23 | *** Validation Epoch 3 End ***
  - Val Loss: 0.3692
  - Val Acc:  0.8263
  - Val F1:   0.8162
-------------------------
Time: 2025-06-14 04:59:37 | Step: 8850 | Train Loss: 0.3559
Time: 2025-06-14 04:59:55 | Step: 8900 | Train Loss: 0.4688
Time: 2025-06-14 05:00:13 | Step: 8950 | Train Loss: 0.3746
Time: 2025-06-14 05:00:31 | Step: 9000 | Train Loss: 0.4185
Time: 2025-06-14 05:00:49 | Step: 9050 | Train Loss: 0.4272
Time: 2025-06-14 05:01:07 | Step: 9100 | Train Loss: 0.3539
Time: 2025-06-14 05:01:26 | Step: 9150 | Train Loss: 0.4058
Time: 2025-06-14 05:01:44 | Step: 9200 | Train Loss: 0.4176
Time: 2025-06-14 05:02:02 | Step: 9250 | Train Loss: 0.3697
Time: 2025-06-14 05:02:20 | Step: 9300 | Train Loss: 0.3234
Time: 2025-06-14 05:02:38 | Step: 9350 | Train Loss: 0.4772
Time: 2025-06-14 05:02:57 | Step: 9400 | Train Loss: 0.3068
Time: 2025-06-14 05:03:15 | Step: 9450 | Train Loss: 0.4129
Time: 2025-06-14 05:03:33 | Step: 9500 | Train Loss: 0.3436
Time: 2025-06-14 05:03:51 | Step: 9550 | Train Loss: 0.3533
Time: 2025-06-14 05:04:09 | Step: 9600 | Train Loss: 0.3751
Time: 2025-06-14 05:04:28 | Step: 9650 | Train Loss: 0.3945
Time: 2025-06-14 05:04:46 | Step: 9700 | Train Loss: 0.3510
Time: 2025-06-14 05:05:04 | Step: 9750 | Train Loss: 0.3867
Time: 2025-06-14 05:05:22 | Step: 9800 | Train Loss: 0.3457
Time: 2025-06-14 05:05:40 | Step: 9850 | Train Loss: 0.3703
Time: 2025-06-14 05:05:58 | Step: 9900 | Train Loss: 0.2897
Time: 2025-06-14 05:06:17 | Step: 9950 | Train Loss: 0.3523
Time: 2025-06-14 05:06:35 | Step: 10000 | Train Loss: 0.3037
Time: 2025-06-14 05:06:53 | Step: 10050 | Train Loss: 0.3527
Time: 2025-06-14 05:07:11 | Step: 10100 | Train Loss: 0.4231
Time: 2025-06-14 05:07:29 | Step: 10150 | Train Loss: 0.4651
Time: 2025-06-14 05:07:47 | Step: 10200 | Train Loss: 0.2680
Time: 2025-06-14 05:08:06 | Step: 10250 | Train Loss: 0.4386
Time: 2025-06-14 05:08:24 | Step: 10300 | Train Loss: 0.3249
Time: 2025-06-14 05:08:42 | Step: 10350 | Train Loss: 0.3226
Time: 2025-06-14 05:09:00 | Step: 10400 | Train Loss: 0.4040
Time: 2025-06-14 05:09:18 | Step: 10450 | Train Loss: 0.3760
Time: 2025-06-14 05:09:37 | Step: 10500 | Train Loss: 0.4149
Time: 2025-06-14 05:09:55 | Step: 10550 | Train Loss: 0.3445
Time: 2025-06-14 05:10:13 | Step: 10600 | Train Loss: 0.3746
Time: 2025-06-14 05:10:31 | Step: 10650 | Train Loss: 0.4344
Time: 2025-06-14 05:10:49 | Step: 10700 | Train Loss: 0.2862
Time: 2025-06-14 05:11:07 | Step: 10750 | Train Loss: 0.4537
Time: 2025-06-14 05:11:26 | Step: 10800 | Train Loss: 0.3207
Time: 2025-06-14 05:11:44 | Step: 10850 | Train Loss: 0.4507
Time: 2025-06-14 05:12:02 | Step: 10900 | Train Loss: 0.3229
Time: 2025-06-14 05:12:20 | Step: 10950 | Train Loss: 0.3064
Time: 2025-06-14 05:12:38 | Step: 11000 | Train Loss: 0.4500
Time: 2025-06-14 05:12:56 | Step: 11050 | Train Loss: 0.4142
-------------------------
Time: 2025-06-14 05:13:51 | *** Validation Epoch 4 End ***
  - Val Loss: 0.3607
  - Val Acc:  0.8309
  - Val F1:   0.8172
-------------------------
Time: 2025-06-14 05:14:20 | Step: 11100 | Train Loss: 0.3606
Time: 2025-06-14 05:14:38 | Step: 11150 | Train Loss: 0.3059
Time: 2025-06-14 05:14:56 | Step: 11200 | Train Loss: 0.3747
Time: 2025-06-14 05:15:14 | Step: 11250 | Train Loss: 0.3549
Time: 2025-06-14 05:15:32 | Step: 11300 | Train Loss: 0.3371
Time: 2025-06-14 05:15:50 | Step: 11350 | Train Loss: 0.3779
Time: 2025-06-14 05:16:09 | Step: 11400 | Train Loss: 0.3822
Time: 2025-06-14 05:16:27 | Step: 11450 | Train Loss: 0.4130
Time: 2025-06-14 05:16:45 | Step: 11500 | Train Loss: 0.3679
Time: 2025-06-14 05:17:03 | Step: 11550 | Train Loss: 0.3955
Time: 2025-06-14 05:17:21 | Step: 11600 | Train Loss: 0.4118
Time: 2025-06-14 05:17:39 | Step: 11650 | Train Loss: 0.2829
Time: 2025-06-14 05:17:58 | Step: 11700 | Train Loss: 0.3516
Time: 2025-06-14 05:18:16 | Step: 11750 | Train Loss: 0.3712
Time: 2025-06-14 05:18:34 | Step: 11800 | Train Loss: 0.2672
Time: 2025-06-14 05:18:52 | Step: 11850 | Train Loss: 0.3585
Time: 2025-06-14 05:19:10 | Step: 11900 | Train Loss: 0.3036
Time: 2025-06-14 05:19:28 | Step: 11950 | Train Loss: 0.3819
Time: 2025-06-14 05:19:47 | Step: 12000 | Train Loss: 0.3592
Time: 2025-06-14 05:20:05 | Step: 12050 | Train Loss: 0.3612
Time: 2025-06-14 05:20:23 | Step: 12100 | Train Loss: 0.2801
Time: 2025-06-14 05:20:41 | Step: 12150 | Train Loss: 0.4112
Time: 2025-06-14 05:20:59 | Step: 12200 | Train Loss: 0.3892
Time: 2025-06-14 05:21:18 | Step: 12250 | Train Loss: 0.3159
Time: 2025-06-14 05:21:36 | Step: 12300 | Train Loss: 0.3748
Time: 2025-06-14 05:21:54 | Step: 12350 | Train Loss: 0.2708
Time: 2025-06-14 05:22:12 | Step: 12400 | Train Loss: 0.3800
Time: 2025-06-14 05:22:30 | Step: 12450 | Train Loss: 0.3594
