-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 04:41:38 | Step: 4950 | Train Loss: 0.4517
Time: 2025-06-14 04:42:01 | Step: 5000 | Train Loss: 0.3922
Time: 2025-06-14 04:42:23 | Step: 5050 | Train Loss: 0.3221
Time: 2025-06-14 04:42:46 | Step: 5100 | Train Loss: 0.3380
Time: 2025-06-14 04:43:08 | Step: 5150 | Train Loss: 0.3194
Time: 2025-06-14 04:43:31 | Step: 5200 | Train Loss: 0.4199
Time: 2025-06-14 04:43:53 | Step: 5250 | Train Loss: 0.4154
Time: 2025-06-14 04:44:16 | Step: 5300 | Train Loss: 0.3337
Time: 2025-06-14 04:44:38 | Step: 5350 | Train Loss: 0.4095
Time: 2025-06-14 04:45:01 | Step: 5400 | Train Loss: 0.3236
Time: 2025-06-14 04:45:24 | Step: 5450 | Train Loss: 0.4575
Time: 2025-06-14 04:45:46 | Step: 5500 | Train Loss: 0.4367
Time: 2025-06-14 04:46:09 | Step: 5550 | Train Loss: 0.3955
Time: 2025-06-14 04:46:31 | Step: 5600 | Train Loss: 0.4020
Time: 2025-06-14 04:46:54 | Step: 5650 | Train Loss: 0.3102
Time: 2025-06-14 04:47:16 | Step: 5700 | Train Loss: 0.4175
Time: 2025-06-14 04:47:39 | Step: 5750 | Train Loss: 0.4589
Time: 2025-06-14 04:48:01 | Step: 5800 | Train Loss: 0.3796
Time: 2025-06-14 04:48:24 | Step: 5850 | Train Loss: 0.3306
Time: 2025-06-14 04:48:46 | Step: 5900 | Train Loss: 0.3602
Time: 2025-06-14 04:49:09 | Step: 5950 | Train Loss: 0.4393
Time: 2025-06-14 04:49:31 | Step: 6000 | Train Loss: 0.3137
Time: 2025-06-14 04:49:54 | Step: 6050 | Train Loss: 0.3865
Time: 2025-06-14 04:50:16 | Step: 6100 | Train Loss: 0.3758
Time: 2025-06-14 04:50:39 | Step: 6150 | Train Loss: 0.4102
Time: 2025-06-14 04:51:01 | Step: 6200 | Train Loss: 0.3284
Time: 2025-06-14 04:51:24 | Step: 6250 | Train Loss: 0.2867
Time: 2025-06-14 04:51:46 | Step: 6300 | Train Loss: 0.4191
Time: 2025-06-14 04:52:09 | Step: 6350 | Train Loss: 0.3801
Time: 2025-06-14 04:52:31 | Step: 6400 | Train Loss: 0.3837
Time: 2025-06-14 04:52:54 | Step: 6450 | Train Loss: 0.4376
Time: 2025-06-14 04:53:16 | Step: 6500 | Train Loss: 0.3986
Time: 2025-06-14 04:53:39 | Step: 6550 | Train Loss: 0.3838
Time: 2025-06-14 04:54:01 | Step: 6600 | Train Loss: 0.3799
-------------------------
Time: 2025-06-14 04:55:19 | *** Validation Epoch 2 End ***
  - Val Loss: 0.3801
  - Val Acc:  0.8195
  - Val F1:   0.8052
-------------------------
Time: 2025-06-14 04:55:38 | Step: 6650 | Train Loss: 0.3656
