global_step	epoch	step_in_epoch	timestamp	loss
22300	7	1663	2025-06-15 06:35:34	0.1403
22350	7	1713	2025-06-15 06:36:04	0.1023
22400	7	1763	2025-06-15 06:36:35	0.0752
22450	7	1813	2025-06-15 06:37:05	0.0780
22500	7	1863	2025-06-15 06:37:35	0.1232
22550	7	1913	2025-06-15 06:38:05	0.1229
22600	7	1963	2025-06-15 06:38:35	0.1809
22650	7	2013	2025-06-15 06:39:05	0.0959
22700	7	2063	2025-06-15 06:39:35	0.1273
22750	7	2113	2025-06-15 06:40:06	0.1451
22800	7	2163	2025-06-15 06:40:36	0.1590
22850	7	2213	2025-06-15 06:41:06	0.1196
22900	7	2263	2025-06-15 06:41:36	0.1775
22950	7	2313	2025-06-15 06:42:06	0.1252
23000	7	2363	2025-06-15 06:42:36	0.1273
23050	7	2413	2025-06-15 06:43:06	0.1364
23100	7	2463	2025-06-15 06:43:37	0.1470
23150	7	2513	2025-06-15 06:44:07	0.1804
23200	7	2563	2025-06-15 06:44:37	0.0790
23250	7	2613	2025-06-15 06:45:07	0.1268
23300	7	2663	2025-06-15 06:45:37	0.1661
23350	7	2713	2025-06-15 06:46:07	0.1300
23400	7	2763	2025-06-15 06:46:38	0.0811
23450	7	2813	2025-06-15 06:47:08	0.1667
23500	7	2863	2025-06-15 06:47:38	0.1424
23550	7	2913	2025-06-15 06:48:08	0.1068
23600	8	15	2025-06-15 06:50:41	0.1045
23650	8	65	2025-06-15 06:51:11	0.0725
23700	8	115	2025-06-15 06:51:41	0.1042
23750	8	165	2025-06-15 06:52:11	0.0933
23800	8	215	2025-06-15 06:52:41	0.1024
23850	8	265	2025-06-15 06:53:11	0.0768
23900	8	315	2025-06-15 06:53:41	0.0876
23950	8	365	2025-06-15 06:54:12	0.1100
24000	8	415	2025-06-15 06:54:42	0.0905
24050	8	465	2025-06-15 06:55:12	0.0963
24100	8	515	2025-06-15 06:55:42	0.0639
24150	8	565	2025-06-15 06:56:12	0.0702
24200	8	615	2025-06-15 06:56:42	0.1156
24250	8	665	2025-06-15 06:57:12	0.1442
24300	8	715	2025-06-15 06:57:43	0.1153
24350	8	765	2025-06-15 06:58:13	0.1158
24400	8	815	2025-06-15 06:58:43	0.0684
24450	8	865	2025-06-15 06:59:13	0.1110
24500	8	915	2025-06-15 06:59:43	0.0808
24550	8	965	2025-06-15 07:00:13	0.0953
24600	8	1015	2025-06-15 07:00:43	0.1238
24650	8	1065	2025-06-15 07:01:14	0.1438
24700	8	1115	2025-06-15 07:01:44	0.0624
24750	8	1165	2025-06-15 07:02:14	0.1062
24800	8	1215	2025-06-15 07:02:44	0.0909
24850	8	1265	2025-06-15 07:03:14	0.1437
24900	8	1315	2025-06-15 07:03:44	0.1123
24950	8	1365	2025-06-15 07:04:14	0.0811
25000	8	1415	2025-06-15 07:04:45	0.1740
25050	8	1465	2025-06-15 07:05:15	0.1281
25100	8	1515	2025-06-15 07:05:45	0.0962
25150	8	1565	2025-06-15 07:06:15	0.0669
25200	8	1615	2025-06-15 07:06:45	0.0947
25250	8	1665	2025-06-15 07:07:15	0.0847
25300	8	1715	2025-06-15 07:07:45	0.0910
25350	8	1765	2025-06-15 07:08:16	0.0960
25400	8	1815	2025-06-15 07:08:46	0.0866
25450	8	1865	2025-06-15 07:09:16	0.0736
25500	8	1915	2025-06-15 07:09:46	0.0753
25550	8	1965	2025-06-15 07:10:16	0.1288
25600	8	2015	2025-06-15 07:10:46	0.1269
25650	8	2065	2025-06-15 07:11:16	0.1472
25700	8	2115	2025-06-15 07:11:47	0.1282
25750	8	2165	2025-06-15 07:12:17	0.1317
25800	8	2215	2025-06-15 07:12:47	0.0942
25850	8	2265	2025-06-15 07:13:17	0.1131
25900	8	2315	2025-06-15 07:13:47	0.0817
25950	8	2365	2025-06-15 07:14:17	0.1104
26000	8	2415	2025-06-15 07:14:47	0.1550
26050	8	2465	2025-06-15 07:15:17	0.1272
26100	8	2515	2025-06-15 07:15:48	0.1162
26150	8	2565	2025-06-15 07:16:18	0.1259
26200	8	2615	2025-06-15 07:16:48	0.0511
26250	8	2665	2025-06-15 07:17:18	0.1848
26300	8	2715	2025-06-15 07:17:48	0.0744
26350	8	2765	2025-06-15 07:18:18	0.1308
26400	8	2815	2025-06-15 07:18:48	0.1695
26450	8	2865	2025-06-15 07:19:19	0.1697
26500	8	2915	2025-06-15 07:19:49	0.1243
26550	9	17	2025-06-15 07:22:21	0.1322
26600	9	67	2025-06-15 07:22:51	0.0569
26650	9	117	2025-06-15 07:23:21	0.1641
26700	9	167	2025-06-15 07:23:51	0.1030
26750	9	217	2025-06-15 07:24:21	0.0811
26800	9	267	2025-06-15 07:24:51	0.0593
26850	9	317	2025-06-15 07:25:21	0.0638
26900	9	367	2025-06-15 07:25:52	0.0986
26950	9	417	2025-06-15 07:26:22	0.0757
27000	9	467	2025-06-15 07:26:52	0.0750
27050	9	517	2025-06-15 07:27:22	0.0753
27100	9	567	2025-06-15 07:27:52	0.0658
27150	9	617	2025-06-15 07:28:23	0.0631
27200	9	667	2025-06-15 07:28:53	0.0507
27250	9	717	2025-06-15 07:29:23	0.0971
27300	9	767	2025-06-15 07:29:53	0.0963
27350	9	817	2025-06-15 07:30:23	0.0701
27400	9	867	2025-06-15 07:30:53	0.1258
27450	9	917	2025-06-15 07:31:24	0.0949
27500	9	967	2025-06-15 07:31:54	0.0558
27550	9	1017	2025-06-15 07:32:24	0.0777
27600	9	1067	2025-06-15 07:32:54	0.0975
27650	9	1117	2025-06-15 07:33:24	0.0496
27700	9	1167	2025-06-15 07:33:54	0.0812
27750	9	1217	2025-06-15 07:34:24	0.1071
27800	9	1267	2025-06-15 07:34:55	0.0736
27850	9	1317	2025-06-15 07:35:25	0.0743
27900	9	1367	2025-06-15 07:35:55	0.1690
27950	9	1417	2025-06-15 07:36:25	0.0751
28000	9	1467	2025-06-15 07:36:55	0.1287
28050	9	1517	2025-06-15 07:37:25	0.0888
28100	9	1567	2025-06-15 07:37:55	0.1445
28150	9	1617	2025-06-15 07:38:26	0.0939
28200	9	1667	2025-06-15 07:38:56	0.0924
28250	9	1717	2025-06-15 07:39:26	0.0946
28300	9	1767	2025-06-15 07:39:56	0.0751
28350	9	1817	2025-06-15 07:40:26	0.0799
28400	9	1867	2025-06-15 07:40:56	0.0829
28450	9	1917	2025-06-15 07:41:27	0.0626
28500	9	1967	2025-06-15 07:41:57	0.0643
28550	9	2017	2025-06-15 07:42:27	0.0576
28600	9	2067	2025-06-15 07:42:57	0.0969
28650	9	2117	2025-06-15 07:43:27	0.0620
28700	9	2167	2025-06-15 07:43:57	0.0739
28750	9	2217	2025-06-15 07:44:27	0.1174
28800	9	2267	2025-06-15 07:44:58	0.1119
28850	9	2317	2025-06-15 07:45:28	0.1959
28900	9	2367	2025-06-15 07:45:58	0.1331
28950	9	2417	2025-06-15 07:46:28	0.0800
29000	9	2467	2025-06-15 07:46:58	0.1201
29050	9	2517	2025-06-15 07:47:28	0.1587
29100	9	2567	2025-06-15 07:47:58	0.0558
